night_travel,road_type,unsafe_zone,battery,shake,voice_trigger,sudden_stop,manual_sos,lat,lon,rule_score,ml_score,final_score,risk_level,ward,timestamp
False,Unknown,False,99,False,False,False,False,12.9297114,77.6227035,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:34.502419
False,Unknown,False,99,False,False,False,False,12.9296876,77.6227037,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:34.953566
False,main,False,99,False,False,False,False,12.9296876,77.6227037,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:34.956142
False,Unknown,False,99,False,False,False,False,12.9297026,77.6226795,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:41.025834
False,main,False,99,False,False,False,False,12.9297026,77.6226795,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:41.028150
False,main,False,99,False,False,False,False,12.9297035,77.6226867,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:46.040114
False,Unknown,False,99,False,False,False,False,12.9297035,77.6226867,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:46.044461
False,main,False,100,False,False,False,False,12.9297114,77.6227035,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:48.611323
False,main,False,100,False,False,False,False,12.9296876,77.6227037,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:48.978482
False,main,False,100,False,False,False,False,12.9297026,77.6226795,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:49.462286
False,main,False,100,False,False,False,False,12.9297035,77.6226867,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:50.191112
False,main,False,99,False,False,False,False,12.9297034,77.6226825,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:52.076642
False,Unknown,False,99,False,False,False,False,12.9297034,77.6226825,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:52.079253
True,Unknown,False,99,False,False,False,False,12.9297047,77.6226819,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:25:57.200464
False,main,False,99,False,False,False,False,12.9297047,77.6226819,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:25:57.202272
